"gutenberg_id","title","author","lccn","wikipedia_url","publication_year"
"73","The Red Badge of Courage: An Episode of the American Civil War","Stephen Crane","","https://en.wikipedia.org/wiki/The_Red_Badge_of_Courage","1895"
"74","The Adventures of Tom Sawyer, Complete","Mark Twain","","https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer","1876"
"76","Adventures of Huckleberry Finn","Mark Twain","","https://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn","1884"
"77","The House of the Seven Gables","Nathaniel Hawthorne","","https://en.wikipedia.org/wiki/The_House_of_the_Seven_Gables","1851"
"78","Tarzan of the Apes","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/Tarzan_of_the_Apes","1912"
"81","The Return of Tarzan","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Return_of_Tarzan","1913"
"82","Ivanhoe: A Romance","Walter Scott","","https://en.wikipedia.org/wiki/Ivanhoe","1819"
"83","From the Earth to the Moon; and, Round the Moon","Jules Verne","","https://en.wikipedia.org/wiki/From_the_Earth_to_the_Moon","1865"
"84","Frankenstein; Or, The Modern Prometheus","Mary Wollstonecraft Shelley","","https://en.wikipedia.org/wiki/Frankenstein","1818"
"85","The Beasts of Tarzan","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Beasts_of_Tarzan","1914"
"86","A Connecticut Yankee in King Arthur's Court","Mark Twain","","https://en.wikipedia.org/wiki/A_Connecticut_Yankee_in_King_Arthur%27s_Court","1889"
"90","The Son of Tarzan","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Son_of_Tarzan","1915"
"91","Tom Sawyer Abroad","Mark Twain","","https://en.wikipedia.org/wiki/Tom_Sawyer_Abroad","1894"
"92","Tarzan and the Jewels of Opar","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/Tarzan_and_the_Jewels_of_Opar","1916"
"93","Tom Sawyer, Detective","Mark Twain","","https://en.wikipedia.org/wiki/Tom_Sawyer,_Detective","1896"
"94","Alexander's Bridge","Willa Cather","","https://en.wikipedia.org/wiki/Alexander%27s_Bridge","1912"
"95","The prisoner of Zenda","Anthony Hope","","https://en.wikipedia.org/wiki/The_Prisoner_of_Zenda","1894"
"96","The Monster Men","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Monster_Men","1929"
"97","Flatland: A Romance of Many Dimensions","Edwin Abbott Abbott","","https://en.wikipedia.org/wiki/Flatland","1884"
"98","A Tale of Two Cities","Charles Dickens","","https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities","1859"
"101","The Hacker Crackdown: Law and Disorder on the Electronic Frontier","Bruce Sterling","","https://en.wikipedia.org/wiki/The_Hacker_Crackdown","1992"
"102","The Tragedy of Pudd'nhead Wilson","Mark Twain","","https://en.wikipedia.org/wiki/Pudd%27nhead_Wilson","1894"
"103","Around the World in Eighty Days","Jules Verne","","https://en.wikipedia.org/wiki/Around_the_World_in_Eighty_Days","1872"
"105","Persuasion","Jane Austen","","https://en.wikipedia.org/wiki/Persuasion_(novel)","1818"
"106","Jungle Tales of Tarzan","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/Jungle_Tales_of_Tarzan","1916"
"107","Far from the Madding Crowd","Thomas Hardy","","https://en.wikipedia.org/wiki/Far_from_the_Madding_Crowd","1874"
"108","The Return of Sherlock Holmes","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/The_Return_of_Sherlock_Holmes","1905"
"110","Tess of the d'Urbervilles: A Pure Woman","Thomas Hardy","","https://en.wikipedia.org/wiki/Tess_of_the_d%27Urbervilles","1891"
"111","Freckles","Gene Stratton-Porter","","https://en.wikipedia.org/wiki/Freckles_(novel)","1904"
"113","The Secret Garden","Frances Hodgson Burnett","","https://en.wikipedia.org/wiki/The_Secret_Garden","1911"
"117","Symphony No. 5 in C minor Opus 67","Ludwig van Beethoven","","https://en.wikipedia.org/wiki/Symphony_No._5_(Beethoven)","1808"
"119","A Tramp Abroad","Mark Twain","","https://en.wikipedia.org/wiki/A_Tramp_Abroad","1880"
"120","Treasure Island","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Treasure_Island","1883"
"121","Northanger Abbey","Jane Austen","","https://en.wikipedia.org/wiki/Northanger_Abbey","1818"
"122","The Return of the Native","Thomas Hardy","","https://en.wikipedia.org/wiki/The_Return_of_the_Native","1878"
"123","At the Earth's Core","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/At_the_Earth%27s_Core_(novel)","1914"
"125","A Girl of the Limberlost","Gene Stratton-Porter","","https://en.wikipedia.org/wiki/A_Girl_of_the_Limberlost_(novel)","1909"
"126","The Poison Belt","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/The_Poison_Belt","1913"
"131","The Pilgrim's Progress from this world to that which is to come","John Bunyan","","https://en.wikipedia.org/wiki/The_Pilgrim%27s_Progress","1678"
"132","The Art of War","active 6th century B.C. Sunzi","","","1910"
"133","The Damnation of Theron Ware","Harold Frederic","","https://en.wikipedia.org/wiki/The_Damnation_of_Theron_Ware","1896"
